"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"HellBoy1995",1779,5,8,4,4,0,0,9,12,4,21,4
"INVOR",1793,9,1,11,0,0,0,20,1,4,21,4
"KTtris",1698,1,8,2,9,0,1,3,18,3,21,4
"Lim8",1627,6,5,8,2,0,0,14,7,3,21,4
"neihaos",1484,3,1,13,4,0,0,16,5,2,21,4
"noobest_winner",1439,2,11,0,8,0,0,2,19,1,21,4
"shadiiiii",1193,1,4,3,13,0,0,4,17,1,21,4
"slimmanu",1516,6,7,4,4,0,0,10,11,2,21,4
"Spahic",1745,12,2,7,0,0,0,19,2,4,21,4
"teodorus",1514,3,5,2,11,0,0,5,16,2,21,4
"vrnovic67",1656,2,9,0,9,0,1,2,19,3,21,4
"akbars",1917,6,3,7,4,0,0,13,7,4,20,4
"Alez",1342,4,1,7,8,0,0,11,9,1,20,4
"Ang79",1710,4,1,14,0,1,0,19,1,3,20,4
"anl791",1720,5,1,12,1,1,0,18,2,3,20,4
"AnnaLiseDeSang",1447,1,3,1,15,0,0,2,18,2,20,4
"bahram-b",1442,4,1,14,1,0,0,18,2,2,20,4
"batvenci",1256,1,3,6,10,0,0,7,13,1,20,4
"budaletina",1592,5,1,13,1,0,0,18,2,3,20,4
"Christopho",1598,5,1,13,0,1,0,19,1,3,20,4
"Demonolith",1106,11,1,6,2,0,0,17,3,1,20,4
"humb",1628,3,2,13,2,0,0,16,4,3,20,4
"intuschach",1778,6,5,7,1,1,0,14,6,4,20,4
"Jalk",1583,6,4,4,6,0,0,10,10,2,20,4
"JekyDC",1373,5,5,9,1,0,0,14,6,1,20,4
"konaka29",1785,10,1,8,1,0,0,18,2,4,20,4
"lytchuk",1509,2,4,5,9,0,0,7,13,2,20,4
"martize",1402,1,7,2,10,0,0,3,17,1,20,4
"paulogaspar",1765,3,9,2,6,0,0,5,15,4,20,4
"pjcheck",1446,7,2,10,1,0,0,17,3,2,20,4
"Sashka_champion",1447,1,2,2,14,0,1,3,17,2,20,4
"sgettios737",1377,3,2,9,6,0,0,12,8,1,20,4
"suhailfayyad",1643,1,5,4,9,0,1,5,15,3,20,4
"Sutter",1721,13,2,3,1,1,0,17,3,3,20,4
"VAFAEV",1645,6,1,12,0,1,0,19,1,3,20,4
"valva",1674,5,2,10,2,1,0,16,4,3,20,4
"ver_vas",1743,1,14,0,5,0,0,1,19,4,20,4
"VPN",1541,7,3,6,4,0,0,13,7,2,20,4
"ak-tr",1614,6,2,7,3,1,0,14,5,3,19,3
"andyboy",1354,5,1,12,0,1,0,18,1,1,19,3
"ASzilagyi",1611,8,1,9,0,1,0,18,1,3,19,3
"azim7634",1416,3,7,0,8,0,1,3,16,1,19,3
"BlackSheeep",1623,1,10,0,8,0,0,1,18,3,19,3
"Debrant",1511,6,4,5,4,0,0,11,8,2,19,3
"dejuanachess",1609,6,1,11,1,0,0,17,2,3,19,3
"drunkplayer",1823,5,2,10,1,1,0,16,3,4,19,3
"edgardz",1712,7,1,11,0,0,0,18,1,3,19,3
"FSV",1581,1,7,3,8,0,0,4,15,2,19,3
"geo144",1574,5,1,11,1,1,0,17,2,2,19,3
"ilcroato",1395,3,4,5,7,0,0,8,11,1,19,3
"JAGUARBLACK",1506,8,2,4,4,0,1,12,7,2,19,3
"kall-max",1692,7,1,9,2,0,0,16,3,3,19,3
"masterblastr",1888,8,2,9,0,0,0,17,2,4,19,3
"Mendheim",1805,2,8,4,5,0,0,6,13,4,19,3
"MoonElf",1463,7,3,3,5,0,1,10,9,2,19,3
"nabov",1210,5,2,4,8,0,0,9,10,1,19,3
"patika",1563,7,1,10,1,0,0,17,2,2,19,3
"rotan",1421,9,1,8,0,1,0,18,1,1,19,3
"Serg01",2155,9,1,6,1,2,0,17,2,4,19,3
"sergek",1480,4,7,0,7,0,1,4,15,2,19,3
"Superboy",2243,8,2,6,1,1,1,15,4,4,19,3
"tarevg",1548,9,1,8,1,0,0,17,2,2,19,3
"Terminatorr",1426,7,1,7,4,0,0,14,5,1,19,3
"tututu",1229,3,3,6,6,0,1,9,10,1,19,3
"Vini700",1672,3,4,8,4,0,0,11,8,3,19,3
"zoranlaza",1601,8,1,7,2,1,0,16,3,3,19,3
"Alexander3",1525,1,5,1,11,0,0,2,16,2,18,3
"bebaa",1873,1,14,0,3,0,0,1,17,4,18,3
"cenizo",1765,6,1,10,1,0,0,16,2,4,18,3
"cnotesjazz",1231,1,9,1,7,0,0,2,16,1,18,3
"curuvijamane",1875,6,1,8,1,2,0,16,2,4,18,3
"devasteitoor",1491,4,2,7,5,0,0,11,7,2,18,3
"dusanjecarnajveci",1752,5,2,9,1,1,0,15,3,4,18,3
"Feelthecool",1424,4,3,5,6,0,0,9,9,1,18,3
"kaishakunin",1459,2,3,5,8,0,0,7,11,2,18,3
"lordhacker86",1629,5,3,9,0,0,1,14,4,3,18,3
"LordVoldemort",1611,6,3,9,0,0,0,15,3,3,18,3
"lujos",1740,6,1,7,3,0,1,13,5,4,18,3
"MagnusJorge",1564,8,1,9,0,0,0,17,1,2,18,3
